timestamp,fsr_left,fsr_right,f_l,f_r,p_sum,z_score,status
3263,924,0,875.3600423688631,-16.245178079076517,859.1148642897866,-3.6639241999478225,Caution
3268,803,0,873.3805267604971,-13.17994581275639,860.2005809477407,-3.6574097358553956,Caution
3273,902,0,871.8462107333231,-6.749739130307757,865.0964716030154,-3.628033651735681,Caution
3278,789,0,871.2740962574177,4.121734909083983,875.3958311665017,-3.5662359372401173,Caution
3283,868,0,871.9552636336239,20.55634241866182,892.5116060522857,-3.4635387002670655,Caution
3288,852,0,874.0302287311326,43.60648648867206,917.6367152198047,-3.312784246707758,Caution
3293,1023,0,877.5121976911815,74.08444260727808,951.5966402984596,-3.10901956198487,Caution
3298,820,0,882.2661215845247,112.3263347509803,994.5924563355051,-2.851038165415227,Caution
3303,962,0,888.0139595475972,157.88376626354366,1045.8977258111408,-2.5431987919445067,Caution
3308,789,0,894.3869785061095,209.14127479626964,1103.5282533023792,-2.1974069140923715,Caution
3313,931,380,900.9282589727744,263.10502723359787,1164.0332862063724,-1.8343675691799404,Caution
3318,768,510,907.079920374334,315.9309833377879,1223.010903712122,-1.4804929475801534,Normal
3323,938,599,912.3094043990243,364.1269194794201,1276.4363238784445,-1.1599323494291016,Normal
3328,945,496,916.2640782359257,405.4408800984135,1321.7049583343392,-0.8883136987289927,Normal
3333,795,414,918.8078042812804,438.9447454413276,1357.752549722608,-0.6720227005233806,Normal
3338,986,524,920.0126477546511,464.7137486241047,1384.726396378756,-0.5101755425298502,Normal
3343,802,471,920.07820471745,483.4556401790863,1403.5338448965363,-0.3973280080081619,Normal
3348,985,535,919.10465072962,496.17802494005053,1415.2826756696704,-0.32683324711556616,Normal
3353,800,417,916.9148582308383,503.9500548766996,1420.8649131075379,-0.2933389785345587,Normal
3358,996,502,913.0468459768987,507.7646314594489,1420.8114774363476,-0.2936596006404034,Normal
3363,797,411,906.8724716300727,508.47847485476274,1415.3509464848355,-0.32642361190301294,Normal
3368,972,534,897.8828947342593,506.82791732657074,1404.71081206083,-0.3902660270819366,Normal
3373,951,535,885.9683465586762,503.4790183756711,1389.4473649343472,-0.48184901745393477,Normal
3378,744,430,871.4902712961068,499.07038006312456,1370.5606513592313,-0.5951721543033699,Normal
3383,922,506,855.2660698812402,494.25180731367936,1349.5178771949195,-0.7214319806532505,Normal
3388,725,405,838.4937019919682,489.6675414827044,1328.1612434746726,-0.8495750117897808,Normal
3393,905,495,822.4906976324648,485.8417661073283,1308.3324637397932,-0.9685506880246153,Normal
3398,685,431,808.4016071494461,483.07808134981235,1291.4796884992584,-1.069669887364418,Normal
3403,854,528,797.09731020243,481.46251237365976,1278.5598225760898,-1.1471910362008482,Normal
3408,682,438,789.1834796655294,480.909752329723,1270.0932319952524,-1.1979918597122774,Normal
3414,835,538,784.9880184610467,481.22198371017134,1266.210002171218,-1.2212918257448349,Normal
3419,678,447,784.549738266466,482.1746761625394,1266.7244144290053,-1.2182052744263965,Normal
3424,845,535,787.6295644314563,483.57935036357105,1271.2089147950273,-1.1912975942384767,Normal
3429,680,438,793.7111177545225,485.28626009453336,1278.997377849056,-1.1445656384110034,Normal
3434,845,523,801.9786112889044,487.1615780001494,1289.1401892890538,-1.0837072363241897,Normal
3439,683,428,811.3157318199341,489.0620889689989,1300.377820788933,-1.0162797483570825,Normal
3444,883,523,820.3532160129719,490.7937716313387,1311.1469876443107,-0.9516631190820823,Normal
3449,739,419,827.5842901473147,492.10497109249076,1319.6892612398055,-0.900408186040528,Normal
3454,915,513,831.6121109098235,492.78721447306896,1324.3993253828926,-0.872147089088228,Normal
3459,916,595,831.4418721389081,492.79827811872775,1324.2401502576358,-0.8731021639047521,Normal
3464,730,492,826.6653933314655,492.3027020870579,1318.9680954185233,-0.9047352899980944,Normal
3469,906,602,817.5699114017701,491.6746243558328,1309.244535757603,-0.9630781180256198,Normal
3474,721,453,805.1148907290088,491.4989984309633,1296.6138891599721,-1.0388639071830323,Normal
3479,897,519,790.6671660732557,492.536607780293,1283.2037738535487,-1.119326626437629,Normal
3484,707,440,775.7250758726088,495.63144481078484,1271.3565206833937,-1.1904119365923969,Normal
3489,870,503,761.7751858539164,501.5394295062956,1263.314615360212,-1.238664584351605,Normal
3494,690,436,750.0848680795442,510.6827859403201,1260.7676540198643,-1.253946737457518,Normal
3499,692,410,741.4872567695471,522.9601759529186,1264.4474327224657,-1.2318675089124331,Normal
3504,834,538,736.328031372195,537.7596021524114,1274.0876335246064,-1.1740248466402425,Normal
3509,666,519,734.4847841738249,554.1196924240039,1288.6044765978288,-1.0869215934635732,Normal
3514,772,591,735.4321276343233,570.8856026344322,1306.3177302687554,-0.9806393934494895,Normal
3519,665,707,738.4157060049859,586.8495599747996,1325.2652659797855,-0.8669513145891398,Normal
3524,775,614,742.6313527355228,600.9077136973185,1343.5390664328413,-0.7573057491356905,Normal
3529,710,739,747.2871597591807,612.1893144724795,1359.4764742316602,-0.6616788928365408,Normal
3534,802,620,751.5788782858993,620.1623907816572,1371.7412690675565,-0.5880882695610464,Normal
3539,716,679,754.6584370904327,624.6971099998225,1379.3555470902552,-0.5424014502558175,Normal
3544,758,648,755.6761519782996,626.0119888144956,1381.6881407927951,-0.5284055353860467,Normal
3549,797,546,753.8980297818567,624.5485525363277,1378.4465823181845,-0.5478553763106077,Normal
3554,918,633,748.7992146507489,620.8797869613072,1369.6790016120563,-0.6004621860791484,Normal
3559,744,537,740.1335743226373,615.6490295139554,1355.7826038365927,-0.6838426736668828,Normal
3564,863,672,728.0617113816139,609.4885612648663,1337.5502726464802,-0.7932394172731174,Normal
3569,705,577,713.283260627257,602.9634051863991,1316.2466658136561,-0.9210642790682095,Normal
3574,800,679,697.0252877125273,596.5600358282499,1293.5853235407772,-1.057035758773651,Normal
3579,577,563,680.8439605823326,590.6439357612752,1271.4878963436076,-1.1896236627690078,Normal
3584,560,564,666.2966937926016,585.4083596855936,1251.7050534781952,-1.3083237108420487,Normal
3589,643,660,654.5638327685657,580.864971195224,1235.4288039637897,-1.4059836686626987,Normal
3594,571,535,646.155786770236,576.8474123178888,1223.0031990881248,-1.4805391764889642,Normal
3599,707,650,640.8536881108989,573.0792397448145,1213.9329278557134,-1.5349621751776468,Caution
3604,571,534,637.8774825084756,569.3528402005991,1207.2303227090747,-1.5751788193947232,Caution
3609,703,654,636.1337595225433,565.6784477175556,1201.8122072400988,-1.6076883313495063,Caution
3614,588,537,634.4725714842906,562.3209593665011,1196.7935308507917,-1.6378011484368478,Caution
3619,770,648,631.9126395891316,559.7450147140042,1191.6576543031358,-1.6686171841932562,Caution
3624,643,523,627.739102276421,558.4357629782074,1186.1748652546285,-1.7015147474029408,Caution
3629,662,526,621.5322416855619,558.7060028401717,1180.2382445257335,-1.7371353693077567,Caution
3634,830,618,613.2468086750679,560.6103043447584,1173.8571130198263,-1.7754231230782656,Caution
3639,672,520,603.3243882655164,563.9067971040191,1167.2311853695355,-1.8151796907247228,Caution
3644,791,646,592.7997041158472,568.0882792119037,1160.887983327751,-1.8532398619761075,Caution
3649,561,536,583.3317367445902,572.5371222561104,1155.8688590007005,-1.8833553667576317,Caution
3654,450,638,576.9522436984007,576.6787447066033,1153.630988405004,-1.8967829286655735,Caution
3659,341,534,575.4527355508094,580.0453912146334,1155.4981267654427,-1.8855798162185458,Caution
3664,441,656,579.7415834940591,582.3047322090122,1162.0463157030713,-1.8462896926010344,Caution
3670,510,552,589.5432355813389,583.2704244533651,1172.8136600347038,-1.7816839987440447,Caution
3675,718,659,603.5155573972605,582.8966656429369,1186.4122230401974,-1.7000905648044526,Caution
3680,634,545,619.7019500173759,581.287574560951,1200.9895245783268,-1.6126245516978932,Caution
3685,810,648,636.0892383580228,578.693510287085,1214.7827486451079,-1.5298631219606311,Caution
3690,643,528,651.005209059261,575.4505365708329,1226.455745630094,-1.4598233752618985,Normal
3695,801,607,663.3319191423385,571.9142726631544,1235.2461918054928,-1.4070793692208055,Normal
3700,683,511,672.6461203055061,568.4536311920878,1241.0997514975938,-1.3719571260943841,Normal
3705,817,642,679.2048941403891,565.44869811466,1244.6535922550493,-1.3506335442601767,Normal
3710,638,548,683.6802064875258,563.2179883825019,1246.8981948700275,-1.3371655892187597,Normal
3715,586,541,686.8386020380235,561.9376525513685,1248.776254589392,-1.3258969469670252,Normal
3720,709,609,689.3049056944973,561.6259318960311,1250.9308375905284,-1.312969123218327,Normal
3725,574,518,691.3568682578552,562.1515474943212,1253.5084157521765,-1.2975032645557902,Normal
3730,719,639,692.8285163302717,563.2582508071443,1256.086767137416,-1.2820327664348041,Normal
3735,637,523,693.1991384195265,564.6413223253428,1257.8404607448692,-1.2715103396569,Normal
3740,778,602,691.7358042728796,566.0033735729689,1257.7391778458486,-1.2721180523635376,Normal
3745,645,528,687.6216172458104,567.0614221319868,1254.6830393777973,-1.2904553452159115,Normal
3750,770,590,680.1506387947452,567.5956126462524,1247.7462514409976,-1.3320771215790146,Normal
3755,724,580,668.9376082976452,567.5069681185432,1236.4445764161883,-1.3998888803781604,Normal
3760,586,513,654.0541724613622,566.8087393395758,1220.862911800938,-1.493381223792659,Normal
3765,750,573,636.1199712549217,565.5926410664771,1201.7126123213989,-1.6082859159190215,Caution
3770,623,516,616.3121831573069,564.0102606480303,1180.3224438053371,-1.7366301609004182,Caution
3775,685,570,596.2369352492419,562.2688097721177,1158.5057450213596,-1.8675336519745351,Caution
3780,561,627,577.7494873195773,560.6384576068226,1138.3879449264,-1.9882434940655618,Caution
3785,559,551,562.8091851426452,559.4666078445075,1122.2757929871527,-2.084918841626076,Caution
3790,364,620,553.2751484476747,559.1806069703749,1112.4557554180496,-2.1438405516887666,Caution
3795,199,492,550.4737005417041,560.2495898350375,1110.7232903767417,-2.1542356038603456,Caution
3800,396,487,554.6285496326598,563.0963232623029,1117.7248728949626,-2.112225050212709,Caution
3805,616,577,564.6149126862929,567.9686062975866,1132.5835189838795,-2.0230709272661858,Caution
3810,638,524,578.3742834462605,574.8056114722617,1153.1798949185222,-1.8994895577832946,Caution
3815,738,613,593.6682779691097,583.1847622588159,1176.8530402279257,-1.7574471068886777,Caution
3820,610,540,608.5746785657869,592.3946774594752,1200.9693560252622,-1.6127455660654755,Caution
3825,725,658,621.662689856642,601.5663738059205,1223.2290636625626,-1.479183954894871,Normal
3830,661,582,632.1476112326814,609.8132533066528,1241.9608645393341,-1.366790317656068,Normal
3835,771,693,640.053638056486,616.4092973732219,1256.4629354297078,-1.2797756998098317,Normal
3840,716,680,646.2151494435695,620.9650676403719,1267.1802170839414,-1.2154703895859909,Normal
3845,573,570,652.0168675708053,623.51359943542,1275.5304670062253,-1.1653676276149127,Normal
3850,460,665,658.8903268753368,624.5115610755071,1283.401887950844,-1.1181379119018626,Normal
3855,453,556,667.7778811702639,624.746536245345,1292.524417415609,-1.0634013559183677,Normal
3860,680,653,678.8198203981137,625.1054227491672,1303.925243147281,-0.9949946778878885,Normal
3865,600,515,691.3120315406546,626.3116465094928,1317.6236780501474,-0.9128019974648687,Normal
3870,725,621,703.8562800999381,628.7713785884425,1332.6276586883805,-0.8227758452499601,Normal
3875,656,545,714.6094470452947,632.5536942708535,1347.163141316148,-0.7355607519279879,Normal
3880,809,654,721.5281914921011,637.4793046544961,1359.007496146597,-0.6644928322496431,Normal
3885,760,674,722.558433719672,643.2267875536105,1365.7852212732826,-0.6238254567952282,Normal
3890,653,568,715.7924103658811,649.4085336459324,1365.2009440118136,-0.6273312086983384,Normal
3895,865,698,699.6282738118315,655.651962452824,1355.2802362646555,-0.6868569550492383,Normal
3900,735,588,672.9185557077795,661.6473639412269,1334.5659196490064,-0.8111459864490975,Normal
3905,903,732,635.1681462589682,667.1224804366601,1302.2906266956284,-1.00480262372824,Normal
3910,727,634,586.922520244843,671.8036735026736,1258.7261937475166,-1.2661958077309585,Normal
3915,847,759,530.2177998256578,675.3942819949461,1205.612081820604,-1.5848885093802336,Caution
3920,633,611,468.83208604395713,677.5573112749933,1146.3893973189504,-1.9402335700060414,Caution
3926,652,697,408.3949181245928,677.9243925607434,1086.3193106853362,-2.3006631715385946,Caution
3931,0,658,356.1571835590006,676.1268115584783,1032.2839951174788,-2.6248832343062456,Caution
3936,0,809,319.7050238599205,671.8276300682584,991.5326539281789,-2.869397442457185,Caution
3941,0,668,304.96379986997533,664.7603357438987,969.7241356138741,-3.0002518494764967,Caution
3946,0,804,314.93076625414454,654.8331874128621,969.7639536670067,-3.0000129351377853,Caution
3951,0,667,349.41023299995794,642.3611575509331,991.771390550891,-2.867964986627377,Caution
3956,0,782,404.9142594562952,628.252282492621,1033.1665419489163,-2.619587819889266,Caution
3961,656,570,474.7458141649861,613.9034474114624,1088.6492615764485,-2.2866831139369452,Caution
3966,932,519,550.2178916205656,600.8403870917413,1151.058278712307,-1.9122195757783624,Caution
3971,955,407,622.9245655659164,590.2858724909565,1213.210438056873,-1.5392972232007278,Caution
3976,805,387,686.5557822143866,582.8479223816513,1269.4037045960379,-1.202129128354164,Normal
3981,999,630,737.4785667019252,578.4650947332356,1315.9436614351607,-0.9228823511490746,Normal
3986,788,569,774.4917323376786,576.5753437221273,1351.067076059806,-0.7121365532474037,Normal
3991,1001,689,798.2012922167238,576.389979166319,1374.5912713830428,-0.5709878247888763,Normal
3996,753,560,810.4034781147976,577.1650625467114,1387.568540661509,-0.49312224714210134,Normal
4001,952,716,813.5943781729919,578.3453715488738,1391.9397497218656,-0.4668943319161855,Normal
4006,741,581,810.4031761003456,579.5279496970725,1389.9311257974182,-0.4789463791378424,Normal
4011,739,580,803.087094734011,580.3673565035269,1383.4544512375378,-0.5178074056769224,Normal
4016,924,622,793.330780044868,580.5340613291303,1373.8648413739984,-0.5753465146688848,Normal
4021,706,510,782.2428926211231,579.7051393726765,1361.9480319937998,-0.6468491725998105,Normal
4026,906,580,770.4751142149386,577.5535277369507,1348.0286419518893,-0.7303676172623251,Normal
4031,715,517,758.4851462841425,573.7278249127328,1332.2129711968753,-0.8252640328937602,Normal
4036,837,569,746.7440075316199,567.8335730316426,1314.5775805632625,-0.9310790429121926,Normal
4041,675,649,735.7392232344515,559.4460664746241,1295.1852897090757,-1.0474357198720468,Normal
4046,768,557,725.8867538042439,548.1648804748008,1274.0516342790447,-1.1742408475561794,Normal
4051,658,639,717.395624828674,533.6927365182746,1251.0883613469487,-1.3120239568644851,Normal
4056,641,557,710.1232610920396,515.9203256903804,1226.0435867824199,-1.4622963906604178,Normal
4061,720,448,703.5603923009191,494.9951276796201,1198.5555199805392,-1.627228947271015,Caution
4066,688,506,696.9508144483365,471.3271832214557,1168.277997669792,-1.8088986586602593,Caution
4071,725,444,689.4744326370018,445.51961577345924,1134.994048410461,-2.0086073862694085,Caution
4076,880,484,680.4499621407292,418.2993665621913,1098.7493287029206,-2.226081184193609,Caution
4081,708,386,669.5066617508586,390.5304677180701,1060.0371294689287,-2.458360232323842,Caution
4086,800,429,656.7053060587067,363.2993275601213,1020.0046336188279,-2.698561259760537,Caution
4091,610,360,642.5750427493101,337.9748597687555,980.5499025180657,-2.9352956113515023,Caution
4096,544,303,627.9886129793762,316.1718484325297,944.1604614119059,-3.153637759547208,Caution
4101,640,173,613.925322995028,299.59704105387294,913.522364048901,-3.3374709757637473,Caution
4106,539,136,601.2877522411413,289.7681554545343,891.0559076956756,-3.472273110487326,Caution
4111,653,237,590.8487955317897,287.69129230242646,878.5400878342161,-3.547369921867564,Caution
4116,562,208,583.32211038358,293.6472456327543,876.9693560163344,-3.5567945502468548,Caution
4121,645,252,579.4761441732418,307.1260875600591,886.6022317333009,-3.4989958395931566,Caution
4126,514,214,580.183363503576,326.8175991472279,907.0009626508038,-3.376600370094181,Caution
4131,618,241,586.347652093666,350.54323692383855,936.8908890175046,-3.1972562929681323,Caution
4136,465,195,598.6524097894578,375.111716486837,973.7641262762947,-2.976011294713642,Caution
